Country,Dish_Name,Category,Description,When_Served,Main_Ingredients,Type
Poland,Barszcz,Soup,Traditional beetroot soup served at Christmas Eve feast,Christmas Eve,Beetroot; vegetables; herbs,Savory
Poland,Pierogi,Main,Filled dumplings served as part of 12-dish Christmas Eve meal,Christmas Eve,Dough; potato; cheese; mushrooms,Savory
Poland,Carp,Main,Traditional fish dish from the 12-course Christmas Eve dinner,Christmas Eve,Carp; spices,Savory
France,Bûche de Noël,Dessert,Yule log cake decorated with chocolate buttercream resembling tree bark,Christmas,Sponge cake; chocolate; buttercream,Sweet
France,Oysters,Appetizer,Fresh oysters served as part of seafood-focused Christmas dinner,Christmas,Oysters,Savory
France,Foie Gras,Appetizer,Luxury goose or duck liver pâté,Christmas,Duck or goose liver,Savory
Germany,Roasted Goose,Main,Traditional roasted bird with crispy skin,Christmas,Goose; herbs; spices,Savory
Germany,Stollen,Dessert,Sweet bread similar to fruitcake with dried fruits and nuts,Christmas,Flour; dried fruits; nuts; spices,Sweet
Germany,Red Cabbage,Side,Braised red cabbage with spices,Christmas,Red cabbage; vinegar; spices,Savory
Spain,12 Grapes,Tradition,Twelve grapes eaten at midnight on New Year's Eve for good luck,New Year's Eve,Grapes,Sweet
Spain,Sopa de Galets,Soup,Hearty meat soup with large pasta shells from Catalonia,Christmas,Broth; beef; pork; pasta,Savory
Spain,Turrón,Dessert,Nougat confection made with almonds and honey,Christmas,Almonds; honey; egg whites,Sweet
Italy,Panettone,Dessert,Sweet bread loaf with candied fruits and raisins,Christmas,Flour; candied fruits; raisins; butter,Sweet
Italy,Feast of Seven Fishes,Main,Seafood feast on Christmas Eve,Christmas Eve,Various fish; shellfish,Savory
Sicily,Buccellato,Dessert,Circular cake with dried figs and nuts flavored with Marsala wine,Christmas,Figs; almonds; pine nuts; Marsala,Sweet
Greece,Roasted Lamb,Main,Traditional roasted lamb served for Christmas dinner,Christmas,Lamb; herbs; lemon,Savory
Greece,Christopsomo,Bread,Rustic Christmas bread with raisins and nuts decorated with a cross,Christmas Eve,Flour; raisins; nuts; spices,Sweet
Greece,Baklava,Dessert,Layered pastry with honey and nuts,Christmas,Phyllo dough; nuts; honey,Sweet
Denmark,Julesild,Appetizer,Pickled herring spiced with cinnamon and cloves,Christmas,Herring; spices; vinegar,Savory
Denmark,Risalamande,Dessert,Rice pudding with almonds and cherry sauce with hidden almond prize,Christmas,Rice; cream; almonds; cherry sauce,Sweet
Denmark,Roast Duck,Main,Crispy roasted duck,Christmas,Duck; herbs,Savory
Norway,Lutefisk,Main,Dried fish treated with lye served with potatoes,Christmas,Cod; lye; potatoes,Savory
